JUD,COURT
32650J,Plumas County Court - Portola
32660J,Plumas County Court - Quincy
33****,Riverside County Arrest - No Court Disposition
33100J,Riverside County Court - Riverside County
33110J,Riverside County Court - Indio
33420J,Riverside County Court - Corona
33440J,Riverside County Court - Hemet
33441J,Riverside County Court - Beaumont
33442J,Riverside County Court - Banning
33450J,Riverside County Court - Indio
33455J,Riverside County Court - Rubidoux
33460J,Riverside County Court - Riverside
33470J,Riverside County Court - Palm Springs
33480J,Riverside County Court - Blythe
33490J,Riverside County Court - Perris
33491J,Riverside County Court - Temecula
33492J,Riverside County Court - Elsinore
34****,Sacramento County Arrest - No Court Disposition
34100J,Sacramento County Court - Sacramento County
34470J,Sacramento County Court - Sacramento
34620J,Sacramento County Court - Elk Grove
34621J,Sacramento County Court - Galt
34630J,Sacramento Court - Fair Oaks - Folsom
34640J,Sacramento County Court - Walnut Grove
35****,San Benito County Arrest - No Court Disposition
35100J,San Benito County Court - San Benito County
35640J,San Benito Municip- Hollister
36****,San Bernardino County Arrest - No Court Disposition
36100J,San Bernardino County Court - San Bernardino County
36110J,San Bernardino County Court - Ontario
36120J,San Bernardino County Court - Victorville
36130J,San Bernardino County Court - Barstow
36140J,San Bernardino County Court - Morongo Basin
36433J,San Bernardino County Court - Chino
36455J,San Bernardino County Court - Barstow
36460J,San Bernardino County Court - Redlands
36470J,San Bernardino County Court - San Bernardino Central
36480J,San Bernardino County Court - Fontana
36490J,San Bernardino County Court - Victorville
36495J,San Bernardino County Court - Rancho Cucamonga
36622J,San Bernardino Court - Barstow
36625J,San Bernardino County Court - Big Bear Lake
36628J,San Bernardino Court - Bloomington
36630J,San Bernardino Court - Calzona (Parker Dam)
36637J,San Bernardino County Court - Twin Peaks
36639J,San Bernardino County Court - San Bernardino Judicial District
36648J,San Bernardino Court - Highland
36654J,San Bernardino Court - Mission (Loma Linda)
36660J,San Bernardino County Court - Needles
36674J,San Bernardino Court - Trona
36677J,San Bernardino County Court - Moronga Basin
36690J,San Bernardino Court - Yucaipa
37****,San Diego County Arrest - No Court Disposition
37100J,San Diego County Court - San Diego County
37110J,San Diego County Court - Vista
37120J,San Diego County Court - Chula Vista
37130J,San Diego County Court - El Cajon
37440J,San Diego County Court - El Cajon
37460J,San Diego County Court - Vista
37480J,San Diego County Court - San Diego Central
37485J,San Diego County Court - Chula Vista
38****,San Francisco County Arrest - No Court Disposition
38100J,San Francisco County Court - San Francisco County
38460J,San Francisco County Court - San Francisco
39****,San Joaquin County Arrest - No Court Disposition
39100J,San Joaquin County Court - San Joaquin County
39440J,San Joaquin County Court - Lodi
39450J,San Joaquin County Court - Escalon
39451J,San Joaquin County Court - Manteca
39452J,San Joaquin County Court - Ripon
39453J,San Joaquin County Court - Tracy
39460J,San Joaquin County Court - Stockton
40****,San Luis Obispo County Arrest - No Court Disposition
40100J,San Luis Obispo County Court - San Luis Obispo County
40410J,San Luis Obispo County Court - San Luis Obispo
40420J,San Luis Obispo County Court - Grover City
40430J,San Luis Obispo County Court - Paso Robles
40610J,San Luis Obispo Court - Paso Robles
40650J,San Luis Obispo Court - Atascadero
41****,San Mateo County Arrest - No Court Disposition
41100J,San Mateo County Court - San Mateo County
41420J,San Mateo County Court - San Mateo
41450J,San Mateo County Court - South San Francisco
41470J,San Mateo County Court - Redwood City
42****,Santa Barbara County Arrest - No Court Disposition
42100J,Santa Barbara County Court - Santa Barbara County
42101J,Santa Barbara County Court - Santa Maria
42460J,Santa Barbara County Court - Santa Barbara
42461J,Santa Barbara Court - Santa Barbara Goleta (Goleta)
42465J,Santa Barbara County Court - Santa Maria
42470J,Santa Barbara County Court - Lompoc
42620J,Santa Barbara Court - Carpinteria-Montecito
42675J,Santa Barbara County Court - Solvang
43****,Santa Clara County Arrest - No Court Disposition
43100J,Santa Clara County Court - Santa Clara County
43450J,Santa Clara County Court - Los Gatos
43460J,Santa Clara County Court - Palo Alto
43470J,Santa Clara County Court - San Jose
43471J,Santa Clara County Court - San Jose Traffic
43473J,Santa Clara County Court - Santa Clara
43477J,Santa Clara County Court - Sunnyvale
43635J,Santa Clara County Court - Gilroy
43650J,Santa Clara County Court - Morgan Hill
44****,Santa Cruz County Arrest - No Court Disposition
44100J,Santa Cruz County Court - Santa Cruz County
44460J,Santa Cruz County Court - Santa Cruz
44480J,Santa Cruz County Court - Watsonville
45****,Shasta County Arrest - No Court Disposition
45100J,Shasta County Court - Shasta County
45610J,Shasta County Court - Anderson
45620J,Shasta County Court - Burney
45633J,Shasta County Court Central Valley
45640J,Shasta County Court - Fall River Mill
45670J,Shasta County Court - Redding
46****,Sierra County Arrest - No Court Disposition
46100J,Sierra County Court - Sierra County
46630J,Sierra County Court - Downieville Traffic
46650J,Sierra Court - Loyalton
47****,Siskiyou County Arrest - No Court Disposition
47100J,Siskiyou County Court - Siskiyou County
47630J,Siskiyou County Court - Dorris
47635J,Siskiyou Court - Dunsmuir
47637J,Siskiyou Court - Mount Shasta
47650J,Siskiyou County Court - Happy Camp
47660J,Siskiyou Court - McCloud
47670J,Siskiyou County Court - Shasta Valley
47672J,Siskiyou Court - Scott Valley (Fort Jones)
47673J,Siskiyou Court - Shasta Valley (Weed)
47675J,Siskiyou Court - Tulelake
47690J,Siskiyou County Court - Yreka
48****,Solano County Arrest - No Court Disposition
48100J,Solano County Court - Solano County
48420J,Solano County Court - Dixon
48430J,Solano County Court - Fairfield
48440J,Solano County Court - Vacaville
48470J,Solano County Court - Benecia Branch
48480J,Solano County Court - Vallejo Branch
48660J,Solano Court - Rio Vista
49****,Sonoma County Arrest - No Court Disposition
49100J,Sonoma County Court - Sonoma County
49410J,Sonoma Court - Cloverdale
49420J,Sonoma Court - Guerneville
49460J,Sonoma Court - Santa Rosa
49440J,Sonoma County Court - Healdsburg
49460J,Sonoma County Court - Santa Rosa
49465J,Sonoma Court - Sebastopol
49480J,Sonoma County Court - Petaluma
49490J,Sonoma County Court - Sonoma
50****,Stanislaus County Arrest - No Court Disposition
50100J,Stanislaus County Court - Stanislaus County
50450J,Stanislaus County Court - Modesto
50620J,Stanislaus County Court - Newman
50650J,Stanislaus County Court - Oakdale
50655J,Stanislaus County Court - Patterson
50660J,Stanislaus County Court - Riverbank
50670J,Stanislaus County Court - Turlock
51****,Sutter County Arrest - No Court Disposition
51100J,Sutter County Court - Sutter County
51460J,Sutter County Court - Yuba City
52****,Tehama County Arrest - No Court Disposition
52100J,Tehama County Court - Tehama County
52620J,Tehama County Court - Corning
52660J,Tehama County Court - Red Bluff
53****,Trinity County Arrest - No Court Disposition
53100J,Trinity County Court - Trinity County
53680J,Trinity Court - Weaverville
53681J,Trinity Court - Hayfork
53682J,Trinity Court - Mad River
54****,Tulare County Arrest - No Court Disposition
54100J,Tulare County Court - Tulare County
54440J,Tulare County Court - Dinuba
54445J,Tulare County Court - Exeter
54450J,Tulare County Court - Lindsay
54465J,Tulare County Court - Porterville
54480J,Tulare County Court - Pixley
54485J,Tulare County Court - Tulare
54490J,Tulare County Court - Visalia
54495J,Tulare County Court - Woodlake
54640J,Tulare Court - Dinuba
54645J,Tulare Court - Exeter-Famersville
54650J,Tulare Court - Lindsay
54665J,Tulare Court - Porterville
54690J,Tulare Court - Woodlake
55****,Tuolumne County Arrest - No Court Disposition
55100J,Tuolumne County Court - Tuolumne County
55250J,Tuolumne Court - Jamestown
55610J,Tuolumne Court - First (Sonora)
55620J,Tuolumne Court - Second (Columbia)
55630J,Tuolumne Court - Third (Tuolumne)
55640J,Tuolumne Court - Fourth (Groveland)
55650J,Tuolumne Court _ Fifth (Jamestown)
56****,Ventura County Arrest - No Court Disposition
56100J,Ventura County Court - Ventura County
56480J,Ventura County Court - Ventura
56485J,Ventura County Court - Santa Paula
57****,Yolo County Arrest - No Court Disposition
57100J,Yolo County Court - Yolo County
57410J,Yolo County Court - Broderick
57420J,Yolo County Court - Woodland
57430J,Yolo County Court - Davis
57440J,Yolo County Court - Winters
58****,Yuba County Arrest - No Court Disposition
58100J,Yuba County Court - Yuba County
58650J,Yuba County Court - Marysville
58680J,Yuba Court - Wheatland
99****,Unknown County Arrest - No Court Disposition
